kernel	c	degree	gamma	accuracy	precision	recall
llinear	0.1	3	scale	0.30926506443747825	0.08089787564588725	0.8437678773355877
linear	1	3	scale	0.31004876349703936	0.08101994430995088	0.8442204523973136
linear	10	3	scale	0.3102055033089516	0.08098010654628318	0.8434685703395972
rbf	0.1	3	scale	0.5063887416828594	0.10620141990456033	0.792462771609879
rbf	0.1	3	auto	0.5063004180651239	0.10618395505124244	0.792462771609879
rbf	0.1	3	0.001	0.2858446681976094	0.08350193721151052	0.8970421034731918
rbf	0.1	3	0.01	0.45922392981216503	0.09965186988277462	0.8129552444331233
rbf	0.1	3	0.1	0.615262321144674	0.1261954211715444	0.7358657402741509
rbf	1	3	scale	0.6323971029853382	0.13426790860125556	0.7563531910066864
rbf	1	3	auto	0.6324854266030737	0.13429795290624277	0.7563531910066864
rbf	1	3	0.001	0.42495436613083665	0.09467444437845564	0.818688835464427
rbf	1	3	0.01	0.5669787434493316	0.11833861585461596	0.7801599368818969
rbf	1	3	0.1	0.7603485838779956	0.1860001212672376	0.6928036005222852
rbf	10	3	scale	0.733704292527822	0.1737996461155257	0.7219430185737671
rbf	10	3	auto	0.7337337337337337	0.1737517420681538	0.7215350218377411
rbf	10	3	0.001	0.4889301065771654	0.10403772825852348	0.8039485980134445
rbf	10	3	0.01	0.6628687511040452	0.1448606878008941	0.7539102326812385
rbf	10	3	0.1	0.8333038921274216	0.2528267081763355	0.676371969377718
poly	0.1	3	scale	0.5082140964493905	0.10429735265284762	0.7711170427182229
poly	0.1	10	scale	0.444650532885827	0.10004402217851811	0.8425449699932566
poly	0.1	3	auto	0.508302420067126	0.10435879893238093	0.7715285653519676
poly	0.1	10	auto	0.44459165047400345	0.09995997140106538	0.8417254506234855
poly	0.1	3	0.001	0.07177766001295413	0.07177766001295413	1.0
poly	0.1	10	0.001	0.07177766001295413	0.07177766001295413	1.0
poly	0.1	3	0.01	0.21439086144968497	0.07994184960537404	0.9462710457881575
poly	0.1	10	0.01	0.09415297650591768	0.07280269843806693	0.9901421272166381
poly	0.1	3	0.1	0.7026143790849672	0.15296423096927972	0.6927880007384201
poly	0.1	10	0.1	0.895454277807219	0.3474460018328842	0.5200618636362504
poly	1	3	scale	0.6329564858976623	0.1313682799950317	0.7329634451109986
poly	1	10	scale	0.775893540599423	0.18158559242105035	0.602195285903941
poly	1	3	auto	0.6329564858976623	0.13136831156500337	0.7329634451109986
poly	1	10	auto	0.775893540599423	0.18144046133654088	0.6013792924318888
poly	1	3	0.001	0.07177766001295413	0.07177766001295413	1.0
poly	1	10	0.001	0.07177766001295413	0.07177766001295413	1.0
poly	1	3	0.01	0.5063298592710357	0.10410432948586341	0.77276262582702
poly	1	10	0.01	0.11529176235058587	0.07362513962182243	0.9778352852503115
poly	1	3	0.1	0.7401813578284168	0.17094313002284647	0.6804755770840895
poly	1	10	0.1	0.895454277807219	0.3433261871287195	0.5004100655690896
poly	10	3	scale	0.7032620856150268	0.15327022622967537	0.6927915266361387
poly	10	10	scale	0.7677383265618559	0.18855025336317474	0.6767789512613799
poly	10	3	auto	0.7033504092327622	0.1532507776657982	0.692380004002394
poly	10	10	auto	0.7676500029441206	0.18834409515589776	0.675959939317791
poly	10	3	0.001	0.07177766001295413	0.07177766001295413	1.0
poly	10	10	0.001	0.07177766001295413	0.07177766001295413	1.0
poly	10	3	0.01	0.6319554848966614	0.1311490411547029	0.7337859829523063
poly	10	10	0.01	0.16142613201436729	0.07654546008883466	0.9655435356416678
poly	10	3	0.1	0.7571689336395219	0.17993414032666202	0.6698037144478475
poly	10	10	0.1	0.8966319260436908	0.3457954465948798	0.49342024382405664
sigmoid	0.1	3	scale	0.4342872284048755	0.07468406897906417	0.6041964847091653
sigmoid	0.1	3	auto	0.42201024553965727	0.07316273187739976	0.6041965107947219
sigmoid	0.1	3	0.001	0.1554790084201849	0.07590602877883014	0.9627217765287517
sigmoid	0.1	3	0.01	0.4059353471118177	0.08833300089192413	0.780613288947641
sigmoid	0.1	3	0.1	0.45875287051757646	0.07635653996469534	0.5894170332137639
sigmoid	1	3	scale	0.4351115821704057	0.07251088307951242	0.5824558999911068
sigmoid	1	3	auto	0.4377907319083789	0.07427603324532372	0.595983713693975
sigmoid	1	3	0.001	0.4076429370547017	0.09160722145983384	0.8133808706577431
sigmoid	1	3	0.01	0.4351999057881411	0.07547657475519655	0.6103405835218496
sigmoid	1	3	0.1	0.4572513690160749	0.07439392682661208	0.5734830163556253
sigmoid	10	3	scale	0.44397338514985574	0.07450049799088432	0.5906998705740271
sigmoid	10	3	auto	0.444503326856268	0.0734253337372865	0.5800154787965697
sigmoid	10	3	0.001	0.42451274804215977	0.09216069925186594	0.7928990016132116
sigmoid	10	3	0.01	0.4472413590060649	0.07625672955689768	0.6029518726265133
sigmoid	10	3	0.1	0.44921391980215514	0.07398222177016649	0.5796266338276838
rbf	0.1	3	1	0.8543837955602661	0.25152140331053957	0.5205005264282679
rbf	1	3	1	0.9091149973502914	0.404469437816061	0.5635994996069807
rbf	10	3	1	0.9309014897250192	0.5182177489060559	0.5356951307973589
